,Name,Location,Latitude,Longtitude,District,Subdistrict
0,塔石廣場地下上落客區(重型客車),高偉樂街與沙嘉都喇賈罷麗街之間的塔石廣場地下,22.198213,113.547061,澳門,東望洋區（松山區）
1,澳門文化中心停車場,位於冼星海大馬路及孫逸仙大馬路之間的澳門文化中心內的停車場,22.188705,113.554413,澳門,新口岸區
2,台暉樓停車場,位於台山中街、花地瑪教會街、青洲大馬路/青洲新路及蘇沙醫生街之間的台暉樓內的停車場,22.21089,113.54623,澳門,青洲區
3,氹仔客運碼頭停車場,氹仔客運碼頭前地地下,22.163001,113.57784,氹仔,北安及大潭山區
4,日昇樓停車場,位於氹仔東北馬路社會房屋日昇樓內的停車場,22.163642,113.56061,氹仔,大學及北安灣區
5,日暉大廈停車場,位於氹仔聚龍街日暉大廈內的停車場,22.163747,113.560235,氹仔,大學及北安灣區
6,氹仔中央公園停車場,氹仔中央公園地下,22.159096,113.554459,氹仔,氹仔中心區
7,永寧街停車場,永寧經屋地下,22.213038,113.553445,澳門,黑沙環及祐漢區
8,交通事務局大樓停車場,交通事務局大樓1F~4F,22.203975,113.55362,澳門,望廈及水塘區
9,下環街市停車場,位於下環街市停車場內之停車場,22.190831,113.534661,澳門,下環區
10,何賢公園停車場,何賢公園下面,22.192484,113.548941,澳門,新口岸區
11,宋玉生廣場停車場,宋玉生公園下面,22.18941,113.550893,澳門,外港及南灣湖新填海區
12,居雅大廈停車場,路環石排灣居雅大廈南面,22.129113,113.560331,路環,路環區
13,快富樓停車場,筷子基社會房屋快富樓內,22.206791,113.539039,澳門,筷子基區
14,亞馬喇前地停車場,亞馬喇前地下面,22.189685,113.543387,澳門,中區
15,快達樓停車場,位於筷子基社會房屋快達樓內的停車場 ,22.207792,113.543053,澳門,筷子基區
16,和諧廣場停車場,路環石排灣蝴蝶谷大馬路及業興大馬路交界、業興大廈（第X座）對面的建築物內之停車場,22.128618,113.563603,路環,路環區
17,沙梨頭街市市政綜合大樓停車場,沙梨頭街市市政綜合大樓第三層至第七層,22.202514,113.537114,澳門,沙梨頭及大三巴區
18,快盈大廈停車場,位於俾若翰街快盈大廈內之停車場,22.206975,113.539811,澳門,筷子基區
19,李加祿街停車場,位於李加祿街、木瓜圍及貨倉街之間的大廈內的停車場,22.191565,113.534707,澳門,下環區
20,污水處理站停車場,黑沙環新填海區之污水處理站旁,22.20797,113.558418,澳門,黑沙環新填海區
21,河邊新街停車場,河邊新街、貨倉巷、比厘喇馬忌士街及鹽巷之間的大廈內,22.190346,113.532811,澳門,下環區
22,馬六甲街停車場,馬六甲街旁介乎羅理基博士大馬路與高美士街之間,22.195969,113.553339,澳門,新口岸區
23,青翠樓停車場,青洲新馬路青洲社屋,22.212427,113.537752,澳門,青洲區
24,南灣(栢湖)停車場,區華利前地,22.190642,113.539604,澳門,外港及南灣湖新填海區
25,青葱大廈停車場,位於青洲坊青葱大廈內,22.212203,113.541344,澳門,青洲區
26,望廈體育中心停車場,位於望善街、俾利喇街及馬交石斜坡/黑沙環斜路之間的望廈體育中心內的停車場,22.20641,113.5512,澳門,望廈及水塘區
27,青茂口岸停車場,位於鴨涌馬路及何賢紳士大馬路之間的青茂口岸澳門邊檢大樓內的停車場,22.212669,113.541567,澳門,青洲區
28,青濤大廈停車場,位於青洲大馬路青濤大廈內的停車場,22.21084,113.540803,澳門,青洲區
29,青洲坊大廈停車場,位於青洲坊大廈內,22.212053,113.542915,澳門,青洲區
30,青泉樓停車場,位於青洲社會房屋青泉樓內的停車場 ,22.212236,113.538954,澳門,青洲區
31,青怡大廈停車場,位於青怡大廈內之停車場,22.210879,113.543465,澳門,青洲區
32,松樹尾停車場,位於氹仔消防局前地及律政司街旁的停車場,22.154206,113.557228,氹仔,氹仔舊城及馬場區
33,澳門科學館停車場,澳門科學館下面,22.187594,113.557198,澳門,新口岸區
34,栢佳停車場,友誼廣場下面,22.190431,113.541691,澳門,中區
35,栢力停車場,海港街,22.196891,113.554462,澳門,新口岸區
36,栢景停車場,得勝花園旁,22.198923,113.549069,澳門,東望洋區（松山區）
37,望德樓停車場,位於望善街、慕拉士大馬路及俾利喇街之間的望德樓內的停車場,22.206918,113.551492,澳門,望廈及水塘區
38,栢樂停車場,外港客運碼頭對面,22.198262,113.558809,澳門,新口岸區
39,栢蕙停車場,荷蘭園正街栢蕙花園,22.202819,113.550743,澳門,荷蘭園區
40,栢寧停車場,新馬路市政署後面,22.193034,113.53938,澳門,下環區
41,栢濤停車場,佛山街,22.190532,113.545614,澳門,新口岸區
42,栢港停車場,位於內港介乎於爹美刁施拿地大馬路及巴素打爾古街之間,22.197767,113.536543,澳門,沙梨頭及大三巴區
43,栢麗停車場,關閘栢麗大廈,22.21356,113.549212,澳門,黑沙環及祐漢區
44,栢威停車場,鏡湖馬路栢威大廈,22.198745,113.543873,澳門,新橋區
45,華士古達嘉馬花園停車場,華士古達嘉馬花園下面,22.196392,113.546409,澳門,東望洋區（松山區）
46,華士古達嘉馬花園停車場 - 東區,華士古達嘉馬花園下面,22.19687,113.54725,澳門,東望洋區（松山區）
47,港珠澳大橋邊檢大樓西停車場,位於港珠澳大橋澳門邊檢大樓西側的停車場,22.201163,113.567423,澳門,新城填海區
48,港珠澳大橋邊檢大樓東停車場,位於港珠澳大橋澳門邊檢大樓東側的停車場,22.199172,113.581295,澳門,新城填海區
49,海灣南街停車場,位於沙梨頭南街、沙梨頭海邊大馬路、沙梨頭新街及海灣南街之間的大廈內的停車場,22.206754,113.543542,澳門,林茂塘區
50,望善樓停車場,望廈社屋第一期,22.206768,113.552019,澳門,望廈及水塘區
51,祐漢公園停車場,祐漢公園下面,22.211408,113.551913,澳門,黑沙環及祐漢區
52,黑橋街停車場,位於黑橋街氹仔平民新村第十座及第十一座內之停車場 ,22.154436,113.555744,氹仔,氹仔舊城及馬場區
53,望賢樓停車場,望廈社會房屋望賢樓內之停車場,22.205628,113.549999,澳門,望廈及水塘區
54,湖畔大廈停車場,氹仔湖畔大廈內,22.159631,113.560615,氹仔,氹仔中心區
55,業興大廈停車場,路環石排灣業興大廈北面,22.129754,113.56488,路環,路環區
56,蝴蝶谷停車場,石排灣社區綜合大樓第三層至第五層,22.128486,113.562053,路環,路環區
57,澳門新批發市場停車場,澳門新批發市場地庫第二層及第三層,22.2106,113.534641,澳門,青洲區
58,蓮花路停車場,蓮花路路氹城邊檢大樓旁,22.138734,113.560313,路環,路環區
59,藝園停車場,藝園下面,22.189844,113.54678,澳門,外港及南灣湖新填海區
60,樂群樓停車場,位於路環石排灣樂群樓內之停車場,22.12967,113.561468,路環,路環區
61,麗都停車場,美副將與提督馬路交界,22.20729,113.545729,澳門,高士德及雅廉訪區
62,關閘綜合體育場館停車場,位於關閘綜合體育場館內的停車場,22.2152235,113.5472751,澳門,黑沙環及祐漢區
63,聯生圓形地停車場,位於石排灣馬路及紅路之間的大廈內的停車場,22.12770579765432,113.55468481767201,路環,路環區
